,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
247,Percentage of men who know of female condom,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_FCN,158181011,32364110,,,,I,0,Knowledge of female condom (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMFCN,Female condom,83
248,Percentage of men who know of lactational amenorrhea method,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_LAM,158181010,32364120,,,,I,0,Knowledge of lactational amenorrhea method (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMLAM,Lactational amenorrhea (LAM),83
249,Percentage of men who know of emergency contraception,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_EMC,,32364130,,,,I,0,Knowledge of emergency contraception (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMEMC,Emergency contraception,83
250,Percentage of men who know of diaphragm,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_DIA,158181012,32364140,,,,I,0,Knowledge of diaphragm (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMDIA,Diaphragm,83
251,Percentage of men who know of foam or jelly,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_FOM,158181013,32364150,,,,I,0,Knowledge of foam or jelly (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMFOM,Foam or jelly,83
252,Percentage of men who know of monthly pill,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_MPL,158181014,32364160,,,,I,0,Knowledge of monthly pill (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMMPL,Monthly pill,
253,Percentage of men who know of standard days method,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_STD,158181015,32364170,,,,I,0,Knowledge of standard days method (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMSTD,Standard days method,83
254,Percentage of men who know of other modern methods,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_OMD,158181019,32364180,,,,I,0,Knowledge of other modern methods (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMOMD,Other modern method,83
255,Percentage of men who know of any traditional method,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_TRA,158181020,32364190,,,,I,0,Knowledge of any traditional method (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMTRA,Any traditional method,83
256,Percentage of men who know of periodic abstinence,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_RHY,158181021,32364200,,,,I,0,Knowledge of periodic abstinence (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMRHY,Rhythm,83
257,Percentage of men who know of withdrawal,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_WTH,158181022,32364210,,,,I,0,Knowledge of withdrawal (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMWTH,Withdrawal,83
258,Percentage of men who know of breastfeeding,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_BRF,158181024,32364230,,,,I,0,Knowledge of breastfeeding (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMBRF,Breastfeeding,
259,Percentage of men who know of other traditional methods,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_OTR,158181029,32364240,,,,I,0,Knowledge of other traditional methods (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMOTR,Other traditional methods,
260,Percentage of men who know of any folk method,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_FLK,158181030,32364250,,,,I,0,Knowledge of any folk method (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMFLK,Folk method,83
261,Percentage of men who know of any traditional or folk method,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_TFK,158181035,32364260,,,,I,0,Knowledge of any traditional or folk method (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Percent,1,,FPKMTAMTFK,Any traditional or folk method,83
262,Mean number of contraceptive methods known by all men,All men,FP_KMTA_M_UNW,FP_KMTA_M_NUM,FP_KMTA_M_MNM,,32364270,,,,I,0,Mean number of methods known (all men),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Mean,1,,FPKMTAMMNM,Mean number of methods known,83
263,Number of men 15-49,All men,FP_KMTA_M_UNW,,FP_KMTA_M_NUM,,32364280,,,,D,0,Number of men 15-49,Family Planning,Knowledge of contraceptive methods by all respondents,Men,Number,0,,FPKMTAMNUM,Number of men 15-49,
264,Number of men 15-49 (unweighted),All men,,FP_KMTA_M_NUM,FP_KMTA_M_UNW,,32364290,,,,U,0,Number of men 15-49 (unweighted),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Number,0,,FPKMTAMUNW,Number of men 15-49 (unweighted),
265,Number of men 15-54(59) (unweighted),All men,,FP_KMTA_M_NM5,FP_KMTA_M_UN5,,32364320,,,,U,0,Number of men 15-54(59) (unweighted),Family Planning,Knowledge of contraceptive methods by all respondents,Men,Number,0,,FPKMTAMUN5,Number of men 15-54(59) (unweighted),
266,Percentage of currently married or in union women who know any method of contraception,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_ANY,30181000,32403010,,,,I,0,Knowledge of any method of contraception (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWANY,Any method,
267,Percentage of currently married or in union women who know any modern method of contraception,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_MOD,30181001,32403020,,,,I,0,Knowledge of any modern method of contraception (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWMOD,Any modern method,
268,Percentage of currently married or in union women who know of female sterilization,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_FST,30181007,32403030,,,,I,0,Knowledge of female sterilization (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWFST,Female sterilization,
269,Percentage of currently married or in union women who know of male sterilization,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_MST,30181008,32403040,,,,I,0,Knowledge of male sterilization (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWMST,Male sterilization,
270,Percentage of currently married or in union women who know of pill,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_PIL,30181002,32403050,,,,I,0,Knowledge of pill (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWPIL,Pill,
271,Percentage of currently married or in union women who know of IUD,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_IUD,30181003,32403060,,,,I,0,Knowledge of IUD (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWIUD,IUD,
272,Percentage of currently married or in union women who know of injections,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_INJ,30181004,32403070,,,,I,0,Knowledge of injections (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWINJ,Injectables,
273,"Percentage of currently married or in union women who know of diaphragm, foam or jelly",Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_DFJ,30181005,32403080,,,,I,0,"Knowledge of diaphragm, foam or jelly (married women)",Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWDFJ,"Diaphragm, foam or jelly",
274,Percentage of currently married or in union women who know of implants,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_IMP,30181009,32403090,,,,I,0,Knowledge of implants (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWIMP,Implants,
275,Percentage of currently married or in union women who know of condom,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_MCN,30181006,32403100,,,,I,0,Knowledge of condom (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWMCN,Male condom,
276,Percentage of currently married or in union women who know of female condom,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_FCN,30181011,32403110,,,,I,0,Knowledge of female condom (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWFCN,Female condom,
277,Percentage of currently married or in union women who know of lactational amenorrhea method,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_LAM,30181010,32403120,,,,I,0,Knowledge of lactational amenorrhea method (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWLAM,Lactational amenorrhea (LAM),
278,Percentage of currently married or in union women who know of emergency contraception,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_EMC,,32403130,,,,I,0,Knowledge of emergency contraception (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWEMC,Emergency contraception,
279,Percentage of currently married or in union women who know of diaphragm,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_DIA,30181012,32403140,,,,I,0,Knowledge of diaphragm (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWDIA,Diaphragm,
280,Percentage of currently married or in union women who know of foam or jelly,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_FOM,30181013,32403150,,,,I,0,Knowledge of foam or jelly (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWFOM,Foam or jelly,
281,Percentage of currently married or in union women who know of monthly pill,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_MPL,30181014,32403160,,,,I,0,Knowledge of monthly pill (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWMPL,Monthly pill,
282,Percentage of currently married or in union women who know of standard days method,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_STD,30181015,32403170,,,,I,0,Knowledge of standard days method (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWSTD,Standard days method,
283,Percentage of currently married or in union women who know of other modern methods,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_OMD,30181019,32403180,,,,I,0,Knowledge of other modern methods (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWOMD,Other modern method,
284,Percentage of currently married or in union women who know of any traditional method,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_TRA,30181020,32403190,,,,I,0,Knowledge of any traditional method (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWTRA,Any traditional method,
285,Percentage of currently married or in union women who know of periodic abstinence,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_RHY,30181021,32403200,,,,I,0,Knowledge of periodic abstinence (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWRHY,Rhythm,
286,Percentage of currently married or in union women who know of withdrawal,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_WTH,30181022,32403210,,,,I,0,Knowledge of withdrawal (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWWTH,Withdrawal,
287,Percentage of currently married or in union women who know of breastfeeding,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_BRF,30181024,32403230,,,,I,0,Knowledge of breastfeeding (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWBRF,Breastfeeding,
288,Percentage of currently married or in union women who know of other traditional methods,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_OTR,30181029,32403240,,,,I,0,Knowledge of other traditional methods (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWOTR,Other traditional methods,
289,Percentage of currently married or in union women who know of any folk method,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_FLK,30181030,32403250,,,,I,0,Knowledge of any folk method (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWFLK,Folk method,
290,Percentage of currently married or in union women who know of any traditional or folk method,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_TFK,30181035,32403260,,,,I,0,Knowledge of any traditional or folk method (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Percent,1,,FPKMTMWTFK,Any traditional or folk method,
291,Mean number of contraceptive methods known by currently married or in union women,Currently married women,FP_KMTM_W_UNW,FP_KMTM_W_NUM,FP_KMTM_W_MNM,109147001,32403270,,,,I,0,Mean number of methods known (married women),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Mean,1,,FPKMTMWMNM,Mean number of methods known,
292,Number of currently married or in union women,Currently married women,FP_KMTM_W_UNW,,FP_KMTM_W_NUM,30111000,32403280,,,,D,0,Number of married women,Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Number,0,,FPKMTMWNUM,Number of married women,
293,Number of currently married or in union women (unweighted),Currently married women,,FP_KMTM_W_NUM,FP_KMTM_W_UNW,,32403290,,,,U,0,Number of married women (unweighted),Family Planning,Knowledge of contraceptive methods by currently married respondents,Women,Number,0,,FPKMTMWUNW,Number of married women (unweighted),
294,Percentage of currently married or in union men who know any method of contraception,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_ANY,158181000,32404010,,,,I,0,Knowledge of any method of contraception (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMANY,Any method,83
295,Percentage of currently married or in union men who know any modern method of contraception,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_MOD,158181001,32404020,,,,I,0,Knowledge of any modern method of contraception (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMMOD,Any modern method,83
296,Percentage of currently married or in union men who know of female sterilization,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_FST,158181007,32404030,,,,I,0,Knowledge of female sterilization (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMFST,Female sterilization,83
297,Percentage of currently married or in union men who know of male sterilization,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_MST,158181008,32404040,,,,I,0,Knowledge of male sterilization (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMMST,Male sterilization,83
298,Percentage of currently married or in union men who know of pill,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_PIL,158181002,32404050,,,,I,0,Knowledge of pill (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMPIL,Pill,83
299,Percentage of currently married or in union men who know of IUD,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_IUD,158181003,32404060,,,,I,0,Knowledge of IUD (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMIUD,IUD,83
300,Percentage of currently married or in union men who know of injections,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_INJ,158181004,32404070,,,,I,0,Knowledge of injections (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMINJ,Injectables,83
301,"Percentage of currently married or in union men who know of diaphragm, foam or jelly",Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_DFJ,158181005,32404080,,,,I,0,"Knowledge of diaphragm, foam or jelly (married men)",Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMDFJ,"Diaphragm, foam or jelly",83
302,Percentage of currently married or in union men who know of implants,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_IMP,158181009,32404090,,,,I,0,Knowledge of implants (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMIMP,Implants,83
303,Percentage of currently married or in union men who know of condom,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_MCN,158181006,32404100,,,,I,0,Knowledge of condom (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMMCN,Male condom,83
304,Percentage of currently married or in union men who know of female condom,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_FCN,158181011,32404110,,,,I,0,Knowledge of female condom (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMFCN,Female condom,83
305,Percentage of currently married or in union men who know of lactational amenorrhea method,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_LAM,158181010,32404120,,,,I,0,Knowledge of lactational amenorrhea method (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMLAM,Lactational amenorrhea (LAM),83
306,Percentage of currently married or in union men who know of emergency contraception,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_EMC,,32404130,,,,I,0,Knowledge of emergency contraception (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMEMC,Emergency contraception,83
307,Percentage of currently married or in union men who know of diaphragm,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_DIA,158181012,32404140,,,,I,0,Knowledge of diaphragm (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMDIA,Diaphragm,83
308,Percentage of currently married or in union men who know of foam or jelly,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_FOM,158181013,32404150,,,,I,0,Knowledge of foam or jelly (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMFOM,Foam or jelly,83
309,Percentage of currently married or in union men who know of monthly pill,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_MPL,158181014,32404160,,,,I,0,Knowledge of monthly pill (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMMPL,Monthly pill,
310,Percentage of currently married or in union men who know of standard days method,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_STD,158181015,32404170,,,,I,0,Knowledge of standard days method (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMSTD,Standard days method,83
311,Percentage of currently married or in union men who know of other modern methods,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_OMD,158181019,32404180,,,,I,0,Knowledge of other modern methods (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMOMD,Other modern method,83
312,Percentage of currently married or in union men who know of any traditional method,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_TRA,158181020,32404190,,,,I,0,Knowledge of any traditional method (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMTRA,Any traditional method,83
313,Percentage of currently married or in union men who know of periodic abstinence,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_RHY,158181021,32404200,,,,I,0,Knowledge of periodic abstinence (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMRHY,Rhythm,83
314,Percentage of currently married or in union men who know of withdrawal,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_WTH,158181022,32404210,,,,I,0,Knowledge of withdrawal (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMWTH,Withdrawal,83
315,Percentage of currently married or in union men who know of other traditional methods,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_OTR,158181029,32404240,,,,I,0,Knowledge of other traditional methods (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMOTR,Other traditional methods,
316,Percentage of currently married or in union men who know of any folk method,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_FLK,158181030,32404250,,,,I,0,Knowledge of any folk method (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Percent,1,,FPKMTMMFLK,Folk method,83
317,Percentage of currently married or in union men who know of any traditional or folk method,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_TFK,158181035,32404260,,,,I,0,Knowledge of any traditional or folk method (married men),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Mean,1,,FPKMTMMTFK,Any traditional or folk method,83
318,Mean number of contraceptive methods known by currently married or in union men age 15-49,Currently married men,FP_KMTM_M_UNW,FP_KMTM_M_NUM,FP_KMTM_M_MNM,159147001,32404270,,,,I,0,Mean number of contraceptive methods known (married men age 15-49),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Mean,1,,FPKMTMMMNM,Mean number of methods known by married men 15-49,83
319,Number of currently married or in union men 15-49,Currently married men,FP_KMTM_M_UNW,,FP_KMTM_M_NUM,,32404280,,,,D,0,Number of married men 15-49,Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Number,0,,FPKMTMMNUM,Number of married men 15-49,
320,Number of currently married or in union men 15-49 (unweighted),Currently married men,,FP_KMTM_M_NUM,FP_KMTM_M_UNW,,32404290,,,,U,0,Number of married men 15-49 (unweighted),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Number,0,,FPKMTMMUNW,Number of married men 15-49 (unweighted),
321,Number of currently married or in union men 15-54(59) (unweighted),Currently married men,,FP_KMTM_M_NM5,FP_KMTM_M_UN5,,32404320,,,,U,0,Number of married men 15-54(59) (unweighted),Family Planning,Knowledge of contraceptive methods by currently married respondents,Men,Number,0,,FPKMTMMUN5,Number of married men 15-54(59) (unweighted),
322,Percentage of sexually active unmarried women women who know any method of contraception,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_ANY,30181000,32433010,,,,I,0,Knowledge of any method of contraception (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWANY,Any method,
323,Percentage of sexually active unmarried women women who know any modern method of contraception,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_MOD,30181001,32433020,,,,I,0,Knowledge of any modern method of contraception (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWMOD,Any modern method,
324,Percentage of sexually active unmarried women women who know of female sterilization,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_FST,30181007,32433030,,,,I,0,Knowledge of female sterilization (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWFST,Female sterilization,
325,Percentage of sexually active unmarried women women who know of male sterilization,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_MST,30181008,32433040,,,,I,0,Knowledge of male sterilization (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWMST,Male sterilization,
326,Percentage of sexually active unmarried women women who know of pill,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_PIL,30181002,32433050,,,,I,0,Knowledge of pill (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWPIL,Pill,
327,Percentage of sexually active unmarried women women who know of IUD,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_IUD,30181003,32433060,,,,I,0,Knowledge of IUD (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWIUD,IUD,
328,Percentage of sexually active unmarried women women who know of injections,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_INJ,30181004,32433070,,,,I,0,Knowledge of injections (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWINJ,Injectables,
329,"Percentage of sexually active unmarried women women who know of diaphragm, foam or jelly",Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_DFJ,30181005,32433080,,,,I,0,"Knowledge of diaphragm, foam or jelly (sexually active unmarried women)",Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWDFJ,"Diaphragm, foam or jelly",
330,Percentage of sexually active unmarried women women who know of implants,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_IMP,30181009,32433090,,,,I,0,Knowledge of implants (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWIMP,Implants,
331,Percentage of sexually active unmarried women women who know of condom,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_MCN,30181006,32433100,,,,I,0,Knowledge of condom (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWMCN,Male condom,
332,Percentage of sexually active unmarried women women who know of female condom,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_FCN,30181011,32433110,,,,I,0,Knowledge of female condom (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWFCN,Female condom,
333,Percentage of sexually active unmarried women women who know of lactational amenorrhea method,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_LAM,30181010,32433120,,,,I,0,Knowledge of lactational amenorrhea method (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWLAM,Lactational amenorrhea (LAM),
334,Percentage of sexually active unmarried women women who know of emergency contraception,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_EMC,,32433130,,,,I,0,Knowledge of emergency contraception (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWEMC,Emergency contraception,
